,Name,Address,Rating,Latitude,Longitude,Google Maps Link
0,Studio Barre Prague,"Patočkova 2386/83, 160 00 Praha 6-Břevnov, Czechia",4.6,50.0851969,14.3647773,https://www.google.com/maps/place/?q=place_id:ChIJG8jRI5qVC0cR9ouiqxIBOGM
1,Barre Flow Fusion,"Náměstí Míru 820/9, 120 00 Praha 2-Vinohrady, Czechia",5.0,50.0756408,14.4380126,https://www.google.com/maps/place/?q=place_id:ChIJh9gXDFqVC0cRxu19H-QbHC4
2,Lenka Krejčová Barre Academy,"Jankovcova 16b/1639, 170 00 Praha 7-Holešovice, Czechia",4.5,50.10890269999999,14.4535465,https://www.google.com/maps/place/?q=place_id:ChIJSdNxuT3rC0cRUYAP4riJHxM
3,LAVIDA | Stretching & Pilates | Fitness studio,"Hybernská 32, 110 00 Nové Město, Czechia",5.0,50.0870733,14.4346474,https://www.google.com/maps/place/?q=place_id:ChIJlXOh9ASVC0cRMsTzgFnWCJQ
4,Moanalua Studio,"Muchova 242/2, 160 00 Praha 6, Czechia",5.0,50.09859489999999,14.4070119,https://www.google.com/maps/place/?q=place_id:ChIJDXgVLMGVC0cRVOWclFqSFSw
5,DARK STRETCHING | Stretching & Fitness | Barre & Pilates | High Heels,"Hartigova 1913/120, 130 00 Praha 3, Czechia",,50.09039199999999,14.4693349,https://www.google.com/maps/place/?q=place_id:ChIJ7-uGoAOTC0cR2gQPQ9YhD2Y
6,CORE Studio,"3, Arbesovo nám. 1064, Smíchov, 150 00 Praha, Czechia",4.3,50.0759277,14.4053396,https://www.google.com/maps/place/?q=place_id:ChIJX4PwDvmUC0cR9LzL3E8ap84
7,Studio BAILA,"Michalská 432, 110 00 Staré Město, Czechia",4.9,50.0852357,14.4199991,https://www.google.com/maps/place/?q=place_id:ChIJc1ESv-6UC0cRE2IRRzlcOQ0
8,"Bohemia Dance, taneční studio a fitness","U Měšťanského pivovaru 934/4, 170 00 Praha 7-Holešovice, Czechia",4.9,50.1058471,14.4476596,https://www.google.com/maps/place/?q=place_id:ChIJRccehrOUC0cRBDb-O-QigyY
9,Taneční škola COOL DANCE,"Hybernská 2086/15, 110 00 Nové Město, Czechia",4.9,50.087354,14.4349639,https://www.google.com/maps/place/?q=place_id:ChIJWQd5g5mUC0cROUbxGYkfiRk
10,FIRST INTERNATIONAL BALLET SCHOOL in Prague,"Liliová 250, 112 30 Staré Město, Czechia",4.5,50.0846247,14.4165528,https://www.google.com/maps/place/?q=place_id:ChIJU8rgDu-UC0cRuSUFrqJvP4M
11,Rhytmio Dance fitness a wellbeing,"Vackova, 155 00 Praha 13, Czechia",5.0,50.0448372,14.3122688,https://www.google.com/maps/place/?q=place_id:ChIJITcKToW_C0cRRJqXUZrRxUA
12,Pole dance studio VERTIGO POLE FITNESS,"Sázavská 847, 120 00 Praha 2-Vinohrady, Czechia",4.8,50.0738719,14.440812,https://www.google.com/maps/place/?q=place_id:ChIJY03Zz4WUC0cRTuZ0pykW9LQ
