,Name,Address,Rating,Latitude,Longitude,Google Maps Link
0,Pilates Studio,"4, Liliová 250, Staré Město, 110 00, Czechia",5.0,50.0845178,14.4166317,https://www.google.com/maps/place/?q=place_id:ChIJU8rgDu-UC0cRuH5cK9_Jlu4
1,The Pilates Room Prague,"Jičínská 1346/6, 130 00 Praha 3-Vinohrady, Czechia",4.9,50.077341,14.4612348,https://www.google.com/maps/place/?q=place_id:ChIJ_fJJLRSTC0cRfVgVdv2K7ZE
2,STUDIO PilatesPraha,"Dr. Zikmunda Wintra 383, 160 00 Praha 6-Bubeneč, Czechia",5.0,50.1010608,14.4037966,https://www.google.com/maps/place/?q=place_id:ChIJJyv8lEbrC0cRN8pVN7l6-Gg
3,ReformerX,"Jungmannovo nám. 6, 110 00 Můstek, Czechia",5.0,50.0834306,14.4229244,https://www.google.com/maps/place/?q=place_id:ChIJwza5BduVC0cRshtq3OKJE14
4,Reform Beat,"Rohanské nábř. 657/7, Karlín 8, 186 00 Praha 8, Czechia",5.0,50.0947567,14.4466073,https://www.google.com/maps/place/?q=place_id:ChIJM_tib1CVC0cRqL2HfYS-lUY
5,Poppy Pilates Prague,"U Půjčovny 952/2, 110 00 Nové Město, Czechia",4.5,50.0838437,14.4305654,https://www.google.com/maps/place/?q=place_id:ChIJLY28YBiVC0cRvonx4iwzGn0
6,True Pilates Prague,"Purkyňova 74, 110 00 Nové Město, Czechia",4.6,50.0811167,14.4200793,https://www.google.com/maps/place/?q=place_id:ChIJX8RA_-2UC0cRxyW4zRrqQE4
7,LAVIDA | Stretching & Pilates | Fitness studio,"Hybernská 32, 110 00 Nové Město, Czechia",5.0,50.0870733,14.4346474,https://www.google.com/maps/place/?q=place_id:ChIJlXOh9ASVC0cRMsTzgFnWCJQ
8,Diva Pilates,"Rašínovo nábř. 50/26, 12200 Praha 2-Vyšehrad, Czechia",4.4,50.0665598,14.4153959,https://www.google.com/maps/place/?q=place_id:ChIJ7w6-6niVC0cRIGwFfF6isEI
9,Studio Pilates Linie,"V Tůních 1768/14, Praha 2, 120 00 Praha, Czechia",4.8,50.0769469,14.4268921,https://www.google.com/maps/place/?q=place_id:ChIJ-eC75uKVC0cRTB384DRZVkM
10,Simply Pilates,"558, Malostranské nábř. 1, Malá Strana, 118 00 Praha, Czechia",4.4,50.0815805,14.4076847,https://www.google.com/maps/place/?q=place_id:ChIJRXeFPPuUC0cRIrqLrl6UKb8
11,oveė studio,"Entrance from shopping center, V Háji 1061/12, 170 00 Praha 7-Holešovice, Czechia",4.7,50.103401,14.4544757,https://www.google.com/maps/place/?q=place_id:ChIJi3G4wJWVC0cRdVVRZWZi4_4
12,BackStage Reformer Pilates,"Pešlova 133/10, 190 00 Praha 9-Vysočany, Czechia",5.0,50.1114579,14.4991149,https://www.google.com/maps/place/?q=place_id:ChIJS-J4JcbtC0cR-fCKRHzE2uM
13,Barre Flow Fusion,"Náměstí Míru 820/9, 120 00 Praha 2-Vinohrady, Czechia",5.0,50.0756408,14.4380126,https://www.google.com/maps/place/?q=place_id:ChIJh9gXDFqVC0cRxu19H-QbHC4
14,FYZIO PILATES - Paní Božská,"Křižíkova 290, 186 00 Praha 8-Karlín, Czechia",5.0,50.0928495,14.4534563,https://www.google.com/maps/place/?q=place_id:ChIJE1GBWPGVC0cRZGxr4HAg96k
15,GLOW studio,"Jeremenkova 763/88, 140 00 Praha 4, Czechia",4.0,50.0431137,14.4282215,https://www.google.com/maps/place/?q=place_id:ChIJMXoGojGVC0cRq8F8o36EMoA
16,Pilateez studio,"Senovážné nám. 6, 10000 Nové Město, Czechia",,50.0860086,14.4310082,https://www.google.com/maps/place/?q=place_id:ChIJ_7k22JeVC0cRZqAf3ffv9Bo
17,Reformer Pilates,"Boutique Gym, Pernerova 42, 186 00 Praha 8-Karlín, Czechia",,50.0920127,14.4577634,https://www.google.com/maps/place/?q=place_id:ChIJiX8blRqVC0cRK6_z0mo7Qw0
18,Lenka Krejčová Barre Academy,"Jankovcova 16b/1639, 170 00 Praha 7-Holešovice, Czechia",4.5,50.10890269999999,14.4535465,https://www.google.com/maps/place/?q=place_id:ChIJSdNxuT3rC0cRUYAP4riJHxM
19,PoStu - pilates studio Praha - Velká Chuchle,"nám. Chuchelských bojovníků 4, 159 00 Praha-Velká Chuchle, Czechia",5.0,50.0112055,14.3845587,https://www.google.com/maps/place/?q=place_id:ChIJT627vO2UC0cREhN1OdhTKho
20,Pilates & Harmony Studio,"Hvožďanská 2237/5a, 148 00 Praha 11-Chodov, Czechia",5.0,50.038179,14.4849425,https://www.google.com/maps/place/?q=place_id:ChIJvWdPdsuTC0cRmUPi1pb0VEo
21,Pilates,"Podolská 90, 147 00 Praha 4, Czechia",5.0,50.053249,14.4184509,https://www.google.com/maps/place/?q=place_id:ChIJaYDZz2iUC0cRfSugoJF4Kmc
22,Movement studio K6,"Zelenky-Hajského 1854/8, 130 00 Praha 3-Žižkov, Czechia",5.0,50.0888426,14.4673025,https://www.google.com/maps/place/?q=place_id:ChIJXb62nF6TC0cRNiK6Tz7RPNQ
23,Pilates Power Uhříněves,"U Uhříněveské obory 12, 104 00 Praha 22, Czechia",5.0,50.0385047,14.593807,https://www.google.com/maps/place/?q=place_id:ChIJu5f-vuKNC0cRqWXQOLlTfns
24,NPilates studio,"Jetelová 2183, 252 28 Černošice, Czechia",5.0,49.9454454,14.3339512,https://www.google.com/maps/place/?q=place_id:ChIJjULrofWZC0cRHf5apIIyG-A
25,CORE Studio,"3, Arbesovo nám. 1064, Smíchov, 150 00 Praha, Czechia",4.3,50.0759277,14.4053396,https://www.google.com/maps/place/?q=place_id:ChIJX4PwDvmUC0cR9LzL3E8ap84
26,Studio MPILATES,"Zdoňovská 2992, 193 00 Praha 20, Czechia",5.0,50.10328270000001,14.6121684,https://www.google.com/maps/place/?q=place_id:ChIJu0aj7aLzC0cRXkGLAMEkEUY
27,Pilates & Flow,"Bělohorská 260/39, 169 00 Praha 6-Břevnov, Czechia",4.1,50.0841321,14.3742372,https://www.google.com/maps/place/?q=place_id:ChIJRb4UUwyVC0cR3rWvqEVTTvg
28,Balance Pilates,"M. Horákové 29, 170 00 Praha 7-Holešovice, Czechia",5.0,50.099467,14.429084,https://www.google.com/maps/place/?q=place_id:ChIJr1Oo98-UC0cRFwYOiRjNbSo
